НомерАвто,МаркаАвто,Возмещено,Штрафы
M375CH197RUS,Ford Focus,2,18100
H982HY161RUS,Ford Focus,1,300
8201XX154RUS,Ford Focus,1,7800
8224XX154RUS,Ford Focus,1,2500
O22397197RUS,Ford Focus,1,18500
Y653E8750RUS,Skoda Octavia,1,500
708487163RUS,Ford Focus,1,1000
K558KC161RUS,Ford Focus,1,500
O058M7161RUS,Ford Focus,1,1900
9468EX178RUS,Ford Focus,1,2000
M256OH161RUS,Ford Focus,2,1600
7183TT36RUS,Ford Focus,2,5400
T242H8197RUS,Skoda Octavia,2,23400
K27188138RUS,Ford Focus,1,2000
X782CO96RUS,Ford Focus,1,1000
Y7659C197RUS,Ford Focus,1,1500
X523OM161RUS,Ford Focus,1,400
T686EO197RUS,Toyota Camry,2,1000
96629X178RUS,Ford Focus,1,7000
9881HX152RUS,Ford Focus,2,10300
9020YC197RUS,Skoda Octavia,2,72500
T479KX197RUS,Ford Focus,2,12000
M680T9152RUS,Volkswagen Jetta,2,9000
7831C8197RUS,Ford Focus,2,6800
7364C8197RUS,Ford Focus,2,4500
7844C8197RUS,Ford Focus,2,17000
9068EM178RUS,Ford Focus,1,600
T011MY163RUS,Ford Focus,2,4000
C410X938RUS,Ford Focus,1,1100
X762HY197RUS,Ford Focus,1,500
9470EX178RUS,Ford Focus,1,500
X4128H125RUS,Ford Focus,2,1500
M373CH197RUS,Ford Focus,2,6600
9762HY161RUS,Ford Focus,2,2600
8610T8154RUS,Ford Focus,1,2000
H419XE197RUS,Toyota Corolla,2,6900
98017H178RUS,Ford Focus,1,1500
Y780EE197RUS,Volkswagen Golf,2,4600
"M580CH197RUS,Ford Focus,"""",9500"
T686EO197RUS,Toyota Camry,1,1000
9943OH154RUS,Skoda Octavia,1,400
Y354O8197RUS,Ford Focus,1,10800
7065C8197RUS,Volkswagen Passat,1,3800
9938KK197RUS,Ford Focus,1,28500
E28777161RUS,Ford Focus,1,800
M701T9152RUS,Ford Focus,2,3000
E577HE77RUS,Ford Focus,2,12000
Y194O8161RUS,Ford Focus,2,900
92788M178RUS,Ford Focus,1,1200
9072EM178RUS,Ford Focus,2,4400
9409H7178RUS,Skoda Octavia,1,3000
C3829X154RUS,Ford Focus,2,13500
T478KX197RUS,Ford Focus,2,7500
T119CT96RUS,Ford Focus,1,2000
X795O796RUS,Ford Focus,1,1000
708487163RUS,Ford Focus,1,1000
H983HY161RUS,Ford Focus,1,500
7842C8197RUS,Ford Focus,1,6000
O64097197RUS,Ford Focus,2,71200
Y693HM197RUS,BMW,2,6500
96857X197RUS,Skoda Octavia,1,37800
7177TT36RUS,Ford Focus,1,500
H908YK197RUS,Ford Focus,1,4800
9428EX178RUS,Ford Focus,1,500
84438C154RUS,Ford Focus,2,7600
Y7689C197RUS,Ford Focus,2,9000
H427YH197RUS,Volkswagen Passat,1,9900
T394KX197RUS,Ford Focus,2,1500
O49897197RUS,Ford Focus,2,11800
H963X936RUS,Skoda Octavia,1,1800
T341CC96RUS,Volkswagen Passat,2,1000
9942KK197RUS,Ford Focus,2,6200
9141H8178RUS,Skoda Octavia,1,300
9942KK197RUS,Ford Focus,2,3100
7370C8197RUS,Ford Focus,2,5000
9890HX152RUS,Ford Focus,2,9200
9409H7178RUS,Skoda Octavia,1,6000
M268CH197RUS,Toyota Camry,1,800
Y780EE197RUS,Volkswagen Golf,1,2300
Y388E877RUS,Ford Focus,2,9500
C419X938RUS,Ford Focus,1,1100
M0319X197RUS,Ford Focus,2,4500
M577CH197RUS,Ford Focus,2,17000
7361C8197RUS,Ford Focus,1,800
H975HY161RUS,Ford Focus,1,2000
X018HY197RUS,Toyota Camry,2,10600
E33177152RUS,Ford Focus,2,7100
X256HE161RUS,Ford Focus,2,1600
Y7689C197RUS,Ford Focus,2,45000
Y969O8197RUS,Ford Focus,2,7800
7788KT197RUS,Ford Focus,2,4000
9491H7178RUS,Volkswagen Jetta,1,500
M374CH197RUS,Ford Focus,1,5500
96679X178RUS,Ford Focus,2,2400
9594HY161RUS,Ford Focus,1,300
83218C154RUS,Ford Focus,1,100
9764HY161RUS,Ford Focus,1,800
708187163RUS,Ford Focus,1,1000
H908YK197RUS,Ford Focus,1,4800
H004MH197RUS,Ford Focus,2,19800
92788M178RUS,Ford Focus,1,300
Y656E8750RUS,Skoda Octavia,1,1000
9679EC178RUS,Ford Focus,1,500
"M0279X197RUS,Ford Focus,"""",36000"
O017KO197RUS,Ford Focus,1,1600
H957HY161RUS,Ford Focus,1,1000
X320MK197RUS,Ford Focus,2,7500
X286TC36RUS,Ford Focus,1,500
C803KE163RUS,Volkswagen Jetta,1,1000
Y7379Y50RUS,Ford Focus,2,2000
X320MK197RUS,Ford Focus,1,7500
C476M7161RUS,Ford Focus,2,500
H844YH197RUS,Ford Focus,1,1000
96907X197RUS,BMW,2,3000
Y650E8750RUS,Skoda Octavia,1,1000
H235YH197RUS,Skoda Octavia,2,5100
9474EX178RUS,Ford Focus,1,500
Y8259C197RUS,Ford Focus,1,1500
E29577161RUS,Ford Focus,1,500
X761HY197RUS,Ford Focus,2,18300
H387TM197RUS,Volkswagen Passat,1,4800
T396KX197RUS,Ford Focus,2,10300
C593EY154RUS,Ford Focus,1,1000
Y164O8161RUS,Ford Focus,1,800
M942OT152RUS,Ford Focus,1,2000
T195OK161RUS,Ford Mondeo,2,6700
T476KX197RUS,Ford Focus,2,4500
H889YK197RUS,Ford Focus,2,21200
Y7429Y50RUS,Ford Focus,2,2000
H976HY161RUS,Ford Focus,2,2200
C410X938RUS,Ford Focus,2,2200
Y195O8161RUS,Ford Focus,1,100
O669E8197RUS,Ford Focus,1,18000
Y187O8161RUS,Ford Focus,2,400
K329T8197RUS,Skoda Octavia,2,13000
96659X178RUS,Ford Focus,1,900
7842C8197RUS,Ford Focus,2,12000
O275O7161RUS,Ford Focus,1,8300
7784KT197RUS,Ford Focus,2,6600
9677MO178RUS,Ford Mondeo,1,2200
H957HY161RUS,Ford Focus,1,2000
M0279X197RUS,Ford Focus,2,36000
7784KT197RUS,Ford Focus,2,6600
9939KK197RUS,Ford Focus,1,1600
Y8399C197RUS,Ford Focus,1,600
M373CH197RUS,Ford Focus,2,6600
7164YM36RUS,Ford Focus,2,18800
7843C8197RUS,Ford Focus,2,4100
O753MX161RUS,Ford Focus,2,700
9468EX178RUS,Ford Focus,2,2000
T395KX197RUS,Ford Focus,2,7600
T6488M116RUS,Ford Focus,2,21000
7361C8197RUS,Ford Focus,1,800
98047H178RUS,Ford Focus,1,500
8316XX154RUS,Ford Focus,1,1100
O752MX161RUS,Ford Focus,2,2600
8234XX154RUS,Ford Focus,2,2600
9488EY178RUS,Ford Focus,2,1300
"96857X197RUS,Skoda Octavia,"""",18900"
"O481OH77RUS,Toyota Camry,"""",1000"
K326T8197RUS,Volkswagen Passat,1,100
90159H178RUS,Volkswagen Passat,1,300
9469EX178RUS,Ford Focus,1,4200
X796TH96RUS,Ford Focus,1,500
9499KX178RUS,Ford Focus,1,4600
Y358O8197RUS,Ford Focus,2,21800
C420X938RUS,Ford Focus,2,3300
Y965O8197RUS,Ford Focus,2,1600
96429X178RUS,Ford Focus,2,1300
"Y274O8197RUS,Ford Focus,"""",10700"
Y358O8197RUS,Ford Focus,1,43600
E223YM197RUS,Ford Focus,2,19500
E42277152RUS,Ford Focus,2,5300
E34877152RUS,Ford Focus,2,36600
Y964EE197RUS,Ford Focus,2,6000
T6049O50RUS,Ford Focus,2,15000
8601XX154RUS,Skoda Octavia,1,3900
H259HY161RUS,Toyota Corolla,1,900
T940CC96RUS,Ford Focus,1,500
T288CT96RUS,Ford Focus,1,1500
Y6839Y50RUS,Ford Focus,1,1500
Y344E877RUS,Ford Focus,1,1000
K889HY161RUS,Ford Mondeo,2,46200
H214X836RUS,Ford Focus,1,8000
T399KX197RUS,Ford Focus,2,15300
O421OT161RUS,Skoda Octavia,1,1200
H232YH197RUS,Ford Focus,1,4300
7360C8197RUS,Ford Focus,2,9600
T6418M116RUS,Ford Focus,1,49200
7248C8197RUS,Ford Mondeo,2,34400
Y194O8161RUS,Ford Focus,2,900
9881HX152RUS,Ford Focus,2,20600
T6359O50RUS,Ford Focus,2,13500
E29677161RUS,Ford Focus,2,6000
T020MM116RUS,Skoda Octavia,2,3000
C798ET50RUS,Ford Focus,1,5000
Y7719C197RUS,Ford Focus,2,4600
9502XX38RUS,Skoda Octavia,1,3000
8521XX154RUS,Ford Focus,1,1000
Y273O8197RUS,Ford Focus,2,26300
M580CH197RUS,Ford Focus,2,47500
K376HE161RUS,Ford Focus,1,100
7193TT36RUS,Ford Focus,2,3300
O785T9163RUS,Ford Focus,1,500
"H618YC38RUS,Volkswagen Golf,"""",300"
Y7689C197RUS,Ford Focus,1,36000
M592CH197RUS,Skoda Octavia,1,3500
Y352O8197RUS,Ford Focus,2,77700
9068EM178RUS,Ford Focus,1,600
7783KT197RUS,Ford Focus,1,6000
Y305E877RUS,Ford Focus,2,2500
E881OT197RUS,Skoda Octavia,2,5500
Y8259C197RUS,Ford Focus,2,3000
Y969O8197RUS,Ford Focus,2,7800
92928M178RUS,Ford Focus,2,3000
O718MM163RUS,Ford Focus,2,7000
Y7129Y50RUS,Ford Focus,1,8000
9975CC77RUS,Ford Focus,2,7000
C592EY154RUS,Ford Focus,1,2000
7364C8197RUS,Ford Focus,1,4500
T195OK161RUS,Ford Mondeo,1,6700
Y966O8197RUS,Ford Focus,2,20800
T914CT197RUS,Toyota Camry,2,7200
E41977152RUS,Ford Focus,2,2400
T171CC96RUS,Ford Focus,1,1000
9464EX178RUS,Ford Focus,2,2100
O50197197RUS,Ford Focus,2,7800
7608EE777RUS,Skoda Octavia,1,4000
X583HE161RUS,Ford Focus,1,3000
Y7229Y50RUS,Ford Focus,2,2500
M6977E152RUS,Ford Focus,1,500
K2797K154RUS,Ford Focus,1,800
8325M7154RUS,Ford Focus,1,1000
Y192O8161RUS,Ford Focus,2,300
7784KT197RUS,Ford Focus,1,6600
96599X178RUS,Ford Focus,1,500
X760HY197RUS,Ford Focus,1,10100
Y358O8197RUS,Ford Focus,2,10900
H966HY161RUS,Ford Focus,1,500
9938KK197RUS,Ford Focus,2,28500
98087H178RUS,Ford Focus,1,1000
K2807K154RUS,Ford Focus,1,500
H977HY161RUS,Ford Focus,1,600
7367C8197RUS,Ford Focus,1,6000
9137X938RUS,Ford Focus,1,1600
Y356O8197RUS,Ford Focus,2,15300
9398MM199RUS,Volkswagen Passat,1,300
8436XX154RUS,Ford Focus,1,2400
8180XX154RUS,Ford Focus,2,1400
E53477152RUS,Ford Focus,1,7200
O718MM163RUS,Ford Focus,2,3500
9677MO178RUS,Ford Mondeo,1,1100
9498KX178RUS,Ford Focus,1,4000
K436MO152RUS,Ford Focus,2,3000
7194TT36RUS,Ford Focus,2,2300
7364C8197RUS,Ford Focus,2,4500
O136HO197RUS,Toyota Corolla,2,7800
O68897197RUS,Ford Focus,2,12300
O718MM163RUS,Ford Focus,2,3500
7065C8197RUS,Volkswagen Passat,2,11400
O22097197RUS,Ford Focus,1,24300
Y163O8161RUS,Ford Focus,2,1600
M0309X197RUS,Ford Focus,1,22300
O673E8197RUS,Ford Focus,2,600
8610T8154RUS,Ford Focus,1,2000
H419XE197RUS,Toyota Corolla,2,6900
